0)byfreeshock     by free shock 
478)thephenomenonofcumulativedamageunderrepeated     the phenomenon of cumulative damage under repeated 
479)stationaryconvectivemotionofaconductingfluid     stationary convective motion of a conducting fluid 
480)variousobservationsandpreliminaryexperiments     various observations and preliminary experiments 
481)plateswithattachmentstoheaviermembersalongthe     plates with attachments to heavier members along the 
482)theoreticalandexperimentalresultsarepresented     theoretical and experimental results are presented 
483)indealingwiththesteadylaminarviscousflowovera     in dealing with the steady laminar viscous flow over a 
484)amachinefortestingturbinenozzlesbythereaction     a machine fort e sting turbine nozzles by there action 
485)anapproximatemethodisusedtoobtaintheinjection     an approximate method is used too b t a in the injection 
486)parallelflowofanelectricallyconductingviscous     parallel flow of an electrically conducting viscous 
487)thereynoldsequationsofmotionofturbulentflowof     there y no ld s equations of motion of turbulent flow of 
488)inarecentpaperamethodwaspresentedforobtaining     in are cent paper a method was presented for obtaining 
489)ageneralmethodofsolutionisgiveninthispaperfor     age n er al method of solution is given in this paper for 
490)theproblemofstallflutterisapproachedintwoways     the problem of stall flutter is approached in two ways 
491)steadyapproachtoflutterutilizesexperimentalor     steady approach to flutter utilizes experimental or 
492)thispaperpresentstheresultsofthefirstpartofan     this paper presents there s u l t soft he first part of an 
493)thispapersetsoutthemethodnowusedbytheauthorof     this papers et so u t them et h o d now used by the author of 
494)inthispapertheincompressibleboundarylayerovera     in this paper the incompressible boundarylayer over a 
495)thisreportdescribesanexperimentalinvestigation     this report describes an experimental investigation 
496)thestreamfunctionfortheshearflowwithhyperbolic     the stream function forth e shear flow with hyperbolic 
497)themajorscaleeffectsathighsubsonicandtransonic     them a j or scale effects at high subsonic and transonic 
498)areviewismadeofexistingliteratureconcernedwith     are view is made of existing literature concerned with 
499)ordersolutionforthelaminarcompressibleboundary     orders o l u tion forth e laminar compressible boundary 
500)intheearlierattemptsatfindingthejumpconditions     in the earlier attempts at finding the jump conditions 
501)thepurposeofthepresentpaperistoderiveasystemof     the purpose of the present paper is to derive as y stem of 
502)anearlyuniformshearflowwasobtainedintheworking     an early uniform shear flow was obtained in the working 
503)tunnelresultsareanalyzedtoderiveasemiempirical     tunnel results area n al y z e d to derive as e m i empirical 
504)theauthorstudiestheproblemoffindingtheshapeofa     the authors t u d i e s the problem off in d ing the shape of a 
505)theaerodynamicproblemsassociatedwithpropulsion     the aerodynamic problems associated with propulsion 
506)theexperimentallydemonstratedriseandsubsequent     the experimentally demonstrated rise and subsequent 
507)thedistributionofdeflectionandbendingmomentina     the distribution of deflection and bending moment in a 
508)severalmethodshavebeendevelopedforcomputingthe     several methods have been developed for computing the 
509)theauthorsrepeattheearliercalculationsofpiercy     the authors repeat the earlier calculations of piercy 
510)afterabriefreviewofmethodsofcalculatingtheflow     after ab r i e f review of methods of calculating the flow 
511)theweissingermethodfordeterminingadditionalspan     the weissinger method for determining additional span 
512)athighspeedstheturbulentboundarylayerwashingthe     at highspeed s the turbulent boundarylayer washing the 
513)anexpressionhasbeenderivedforthemassflowthrough     an expression has been derived forth e mass flow through 
514)anexactsolutionandacloselyconcurringapproximate     an exact solution and a closely concurring approximate 
515)atheoreticalanalysisismadeoftheconstantpressure     at he or et i cal analysis is made of the constant pressure 
516)directmeasurementsofsupersoniclocalskinfriction     direct measurements of supersonic local skinfriction 
517)thedetachedshockinfrontofabluntbodyinhypersonic     the detached shock in front of ab l u n t body in hypersonic 
518)thisnotereferstopaperofsametitlebyfeldmaninarsj     this note refers top a per of same title by feldman in ars j 
519)thisnoteattemptstoextendthediscussionbystatinga     this note attempts to extend the discussion by stating a 
520)amodifiedtechniquefortheoperationofaguntunnelis     a modified technique forth e operation of a gun tunnel is 
521)bodytheoryisextendedtoderivefirstapproximations     body theory is extended to derive first approximations 
522)thispaperisanattempttobringtogethertheimportant     this paper is an attempt to bring together the important 
523)thispaperwillbeconcernedwithsomepropertiesofthe     this paper will be concerned with some properties of the 
524)athypersonicspeedsthedragareaofabluntnoseismuch     at hypersonic speeds the drag area of ab l u n tn o s e is much 
525)thefundamentalinvestigationsofvonkarmanandtsien     the fundamental investigations of von karman and tsien 
526)aphysicalflowmodelisdevisedbasedontheconceptsof     a physical flow model is devised based on the concepts of 
527)bodyapproximationoflinearizedcompressibleflowis     body approximation of linearized compressibleflow is 
528)thespatialdistributionofnoisesourcesalongajetis     the spatial distribution of noise sources along a jet is 
529)inthisreportatheoryofthinairfoilsofsmallcamberis     in this report at he or y of thin airfoils of small camber is 
530)ithasbeenestablishedinthepastthatthereisacertain     it has been established in the past that there is a certain 
531)cylindersinfreeflightinapressurizedrangehavebeen     cylinders in free flight in a pressurized range have been 
532)thereareinsupersonicaerodynamicsmanysituationsof     there are in supersonic aerodynamics many situations of 
533)acorrectionismadefortheequationtocomputetheratio     a correction is made forth e equation to compute the ratio 
534)pressuresweresimultaneouslymeasuredinthevariable     pressures were simultaneously measured in the variable 
535)analyticalpredictionsaregivenforthedevelopmentof     analytical predictions are given forth e development of 
536)manyofthephenomenathatoccurintheworldaroundusare     many of the phenomena that occur in the world around us are 
537)thevelocitycomponentsofthefluidfarfromtheairfoil     the velocitycomponent soft he fluid far from the airfoil 
538)flutterresearchonreflectionplanemodelsofstraight     flutter research on reflection plane models of straight 
539)thepositionandstrengthofthefrontshockwaveatlarge     the position and strength of the fronts h oc k wave atlarge 
540)knownthatwhentheflowiseverywheresubsonicinafield     known that when the flow is everywhere subsonic in a field 
541)thispaperpresentsthesolutionoftheheatflowproblem     this paper presents the solution of the heat flow problem 
542)stiffeneraluminumalloypanelsconsistingoffourbays     stiffener aluminumalloy panels consisting off our bays 
543)inthispaperatheoreticalsolutionisdevelopedforthe     in this paper at he or et i cal solution is developed forth e 
544)thereportisconcernedwiththevortexflowwhicharises     there p or t is concerned with the vortex flow which arises 
545)thetransienttemperaturedistributionandthethermal     the transient temperature distribution and the thermal 
546)resultsaregivenofpressuremeasurementsandboundary     results are given of pressure measurements and boundary 
547)theeffectsofcontaminationofheliumbyairuponstatic     the effects of contamination of helium by air upon static 
548)themethodpresentedinthepreviouspartsisemployedto     them et h o dp re s e n t e d in the previous parts is employed to 
549)flowpropertiesbehindshockwavescausedbybluffbodies     flow properties behind shockwaves caused by bluff bodies 
550)aninvestigationtodeterminethefeasibilityofusingan     an investigation to determine the feasibility of using an 
551)sonicflowsaroundslenderbodiesandhaspointedoutthat     sonic flows around slender bodies and has pointed out that 
552)sponsoredexperimentalinvestigationofthelocationof     sponsored experimental investigation of the location of 
553)forafamilyofconesofvarioussemiapexanglesbluntedby     for a family of cones of various semiapex angles blunted by 
554)thereportdescribesexperimentsdevisedtoinvestigate     there p or t describes experiments devised to investigate 
555)thispapershowshowtocalculatetherateofheattransfer     this papers how show to calculate the rate of heattransfer 
556)experimentsarereportedontheinteractionofturbulent     experiments are reported on the interaction of turbulent 
557)themechanicsofthekinetictheoryofgasesisemployedto     them e c h an i c soft he kinetic theory of gases is employed to 
558)experimentalresultsgatheredinrecentyearsforbinary     experimental results gathered in recent years for binary 
559)ananalysiswasmadeoftheflowconditionsdownstreamofa     an analysis was made of the flow conditions downstream of a 
560)articleisacontinuationofanearliernoteonpapersbyli     article is a continuation of an earlier note on papers by li 
561)publishedworkoncreepbucklinghasimpliedthatfailure     published work on creepbuckling has implied that failure 
562)thebucklingofathincylindricalshellsimplysupported     the buckling of at h in cylindrical shells imply supported 
563)thelagrangianthermodynamicequationsofirreversible     the lagrangian thermodynamic equations of irreversible 
564)thepapersetsdowntheequationsofmotionforasymmetric     the papers et s down the equations of motion for asymmetric 
565)insomecoolingproblemsassociatedwithhighenergyflows     in some cooling problems associated with highenergy flows 
566)thefreeturbulentmixingofasupersonicjetofmachnumber     the free turbulent mixing of as up er sonic jet of machnumber 
567)theresultsofexperimentsonaxialloadingofcylindrical     there s u l t so f experiments on axial loading of cylindrical 
568)thispapersummarizestheopticalandphysicalproperties     this papers u mm a r i z e s the optical and physical properties 
569)aninvestigationofthebasepressurebehindwedgesatmach     an investigation of the base pressure behind wedges atm a c h 
570)thereportisafirstattempttodeviseacalculationmethod     there p or t is a first attempt to devise a calculation method 
571)aprogramtoinvestigatetheaerodynamicheattransferofa     a program to investigate the aerodynamic heattransfer of a 
572)amethodofcalculationisdevelopedtocomputetheoverall     a method of calculation is developed to compute the overall 
573)theproblemofaccuratelypredictingthepressureandwake     the problem of accurately predicting the pressure and wake 
574)recentexperimentalstudiesoftransitionfromlaminarto     recent experimental studies of transition from laminar to 
575)thepurposeofthisresearchprogramwastoinvestigatethe     the purpose of this research program was to investigate the 
576)theconditionofimmediatefreezingofthemassfractionof     the condition of immediate freezing of them as s fraction of 
577)theproblemofpredictingthemeanvelocityonstreamlines     the problem of predicting them e an velocity on streamlines 
578)thegeneralsolutionofthestrongblastwaveisfoundinthe     the general solution of the strong blast wave is found in the 
579)theoryandexperimentsoftheflutterofabuckledplateare     theory and experiments of the flutter of ab u c k led plate are 
580)rangehypervelocityvehiclesarestudiedintermsoftheir     range hypervelocity vehicles are studied inter ms of their 
581)theproblemofoptimalzoomclimbmaneuveringofaturbojet     the problem of optimal zoom climb maneuvering of at u r b o jet 
582)aircraftstructureslocatedinthenearnoisefieldofajet     aircraft structures located in then e a r noise field of a jet 
583)assumingthatcontinuumflowenergyequationinaboundary     assuming that continuum flow energy equation in ab o u nd ary 
584)whencertainconditionsarefulfilledforthicknessratio     when certain conditions are fulfilled forth i c k n e s sr at i o 
585)inthischapterweshallmainlyconsiderproblemsofsteady     in this chapter we shall mainly consider problems of steady 
586)layerheattransferisanalyzedforthecaseofasinusoidal     layer heattransfer is analyzed forth e case of as in us o i d al 
587)theactionofacolumnintheplasticrangeisanalyzedonthe     the action of a column in the plastic range is analyzed on the 
588)amosttroublesomeparadoxhasexistedforanumberofyears     a most troublesome paradox has existed for an u m ber of years 
589)thetemperatureisdeterminedasafunctionofpositionand     the temperature is determined as a function of position and 
590)thegeneralbendingtheoryofshellsundertheinfluenceof     the general bending theory of shells under the influence of 
591)thisisalucidintroductiontotheeffectsofdissociation     this is al u c i d introduction to the effects of dissociation 
592)anapproximationtotheheattransferrateacrossalaminar     an approximation to the heattransfer rate across al a m in a r 
593)thisisasurveyofcertainrecentadvancesmadeinthestudy     this is as u r v e y of certain recent advances made in the study 
594)transfercoefficientsandrecoveryfactorsarepresented     transfer coefficients and recovery factors are presented 
595)ananalyticalandexperimentalstudyismadeforinelastic     an analytical and experimental study is made for inelastic 
596)alargeproportionofthecurrentresearchprogrammeofthe     al a r g e proportion of the current research programme of the 
597)flowpropertiesinnozzleswerecalculatedandchartedfor     flow properties in nozzles were calculated and charted for 
598)theuseofmodelsforstructuraltestinvestigationsinthe     the use of models for structural test investigations in the 
599)inthefirstpartoftheinvestigationananalysisismadeof     in the first part of the investigation an analysis is made of 
600)theproblemstudiedmayberegardedasaproblemofgeometry     the problems t u d i e d may ber e g a r de d as a problem of 
601)amethodwhichmaybeusedathighsupersonicmachnumbersis     a method which may be used at high supersonic machnumber s is 
602)amethodispresentedfortheestimationoffatiguedamageto     a method is presented forth e estimation off at i g u e damage to 
603)thepostbucklingcharacteristicsofanaxiallycompressed     the postbuckling characteristics of an axially compressed 
604)thetorsionalbucklingstrengthofacylinderintheplastic     the torsional buckling strength of a cylinder in the plastic 
605)thisisanaccountofaninvestigationinwhichoscillations     this is an account of an investigation in which oscillations 
606)transitionfromlaminartoturbulentflowinthehypersonic     transition from laminar to turbulent flow in the hypersonic 
607)asolutionisgivenforthecaseofthelaminarboundarylayer     as o l u tion is given forth e case of the laminarboundary layer 
608)theprofileofasymmetricairfoilofunitlengthwitharound     the profile of asymmetric airfoil of unit length with around 
609)newmethodsarepresentedfortheanalysisoftransientheat     new methods are presented forth e analysis of transient heat 
610)analogymethodforthesolutionofelasticplateproblemsis     analogy method forth e solution of elastic plate problems is 
611)asimpleformulaisgivenforthepressuredistributiononan     as im p l e formula is given forth e pressuredistribution on an 
612)thisreportpresentsatheoreticalanalysisoftheboundary     this report presents at he or et i cal analysis of the boundary 
613)formulasfortheinviscidflowpropertiesonthesurfaceofa     formulas forth e inviscidflow properties on the surface of a 
614)resultsaregivenofawindtunnelprogrammemadetostudythe     results are given of a windtunnel programme made to study the 
615)thetheoryofthesteadyflowofaviscouscompressiblefluid     the theory of the steady flow of a viscous compressible fluid 
616)theinterferencebetweenthewingsandthetailsurfacesofa     the interference between the wings and theta i l surfaces of a 
617)thispaperisconcernedwiththeproblemofobtaininghigher     this paper is concerned with the problem of obtaining higher 
618)atheoreticalanalysishasbeenmadeforanimpacttubeofthe     at he or et i cal analysis has been made for an impact tube of the 
619)paperisagoodreviewofknowledgetodateonconvectiveheat     paper is ago o d review of knowledge to date on convective heat 
620)thisanalysisincludesthespecificcontributionsofatoms     this analysis includes the specific contributions of atoms 
621)thetheoryfortheplasticbucklingofcolumnswhichappears     the theory forth e plastic buckling of columns which appears 
622)anexperimentalstudyofawinginapropellerslipstreamwas     an experimental study of a wing in a propellers lip stream was 
623)transitionalheattransferonabluntbodyunderhypersonic     transitional heattransfer on ab l u n t body under hypersonic 
624)experiencehasshownthatthefluctuatingloadsinducedbya     experience has shown that the fluctuating loads induced by a 
625)chartsarepresentedfordeterminingcompletetemperature     charts are presented for determining complete temperature 
626)ontheforebodyofmanypracticallyinterestinghypersonic     on the forebody of many practically interesting hypersonic 
627)byexpandingthevelocitypotentialinanasymptoticseries     by expanding the velocity potential in an asymptotic series 
628)conditionsofthermodynamicequilibriumisextendedtonon     conditions of thermodynamic equilibrium is extended to non 
629)thepurposeofthepresentnoteistogiveanexactsolutionof     the purpose of the present note is to give an exact solution of 
630)theproblemsofheattransferinturbulentshearflowalonga     the problems of heattransfer in turbulent shear flow along a 
631)dataarepresentedwhichwereobtainedfromatransonicwind     data are presented which were obtained from at r an sonic wind 
632)inmanywingvibrationanalysesitisfoundnecessarytotake     in many wing vibration analyses it is found necessary to take 
633)asimpleandrelativelyaccurateanalyticapproximationis     as im p l e and relatively accurate analytic approximation is 
634)theeffectsofstreamvelocitygradientsonairfoilmaximum     the effects of stream velocity gradients on airfoil maximum 
635)aparticleapproachisusedtostudytheflowpatternarounda     apart i c l e approach is used to study the flow pattern around a 
636)asanaidtotheaerodynamieistinthedesignofairframesfor     as an aid to the aerodynamieist in the design of airframe s for 
637)theeffectsofasmalljetofairexhaustingfromthenoseofan     the effects of as m all jet of air exhausting from then o s e of an 
638)atheoryisdevelopedwhichdescribestheeffectofageneral     at he or y is developed which describes the effect of age n er al 
639)axisymmetricviscousflowpastunyawedveryslenderbodies     axisymmetric viscous flow past unyawed very slender bodies 
640)earlierstudiesassumeanaverageheatofformationofatoms     earlier studies assume an average heat off or mat ion of atoms 
641)onafinnedmissilewhosewingsaredeflectedintoanaileron     on a finned missile whose wings are deflected into an aileron 
642)itwillbeshownthatthedifferentialequationsforaheated     it will be shown that the differential equations for a heated 
643)supporteddiscussionoftheuseofanintermediateelliptic     supported discussion of the use of an intermediate elliptic 
644)thepresentreportdescribesanewmethodfortheprediction     the present report describes an e w method forth e prediction 
645)plateproblemsinvolvingfreeedgeshavebeenhistorically     plate problems involving free edges have been historically 
646)highreynoldsnumberhypersonicstagnationflowoverablunt     high reynolds number hypersonic stagnation flow over ab l u n t 
647)anumberofbluntbodieshavingshapesthatmaybesuitablefor     an u m ber of blunt bodies having shapes that may be suitable for 
648)asimplifiedmethodhasbeendevisedfordeterminationofthe     asimplified method has been devised for determination of the 
649)authordiscussestheproblemofdeflectionofacantilevered     author discusses the problem of deflection of a cantilevered 
650)thetrailleftintheatmospherebyabodymovingathypersonic     the trail left in the atmosphere by ab o dy moving at hypersonic 
651)itisnowknownthatthehypersonicsimilaritylawderivedfor     it is now known that the hypersonic similarity law derived for 
652)experimentalandtheoreticalresearchhasbeenconductedon     experimental and theoretical research has been conducted on 
653)inthecontinuousquestforimprovedmeansoftransportation     in the continuous quest for improved means of transportation 
654)themixinganddivergenceofasupersonicjetexhaustinginto     them i x ing and divergence of as up er sonic jet exhausting into 
655)dimensionalincompressibleflowoffluidalongthecornerof     dimensional incompressible flow off l u i d along the corner of 
656)theoreticalblockagecorrectionsarepresentedforabodyof     theoretical blockage corrections are presented for ab o dy of 
657)areexaminationhasbeenmadeoftheuseofsimpleconceptsfor     are examination has been made of the use of simple concepts for 
658)circularcylindricalshellsisexpressedinaformanalogous     circularcylindrical shells is expressed in a form analogous 
659)thedesignofstructurestoresistjetnoisefatiguedemandsa     the design of structures to resist jet noise fatigue demands a 
660)thepurposeofthispaperistopresentamethodofcalculation     the purpose of this paper is top re s e n t a method of calculation 
661)paperdescribesresultsofnumericalsolutionoftheviscous     paper describes results of numerical solution of the viscous 
662)observationsofrotatingstallhaveshownthatawidevariety     observations ofr o t at ing stall have shown that a wide variety 
663)numericalcomputationshavebeenperformedfortheboundary     numerical computations have been performed forth e boundary 
664)availabledataontheeffectsofsuctionandinjectiononskin     available data on the effects of suction and injection on skin 
665)atheoreticalstudyismadeoftheeffectofpressuregradient     at he or et i cal study is made of the effect of pressure gradient 
666)ananalysisismadeofexperimentallydeterminedmodeshapes     an analysis is made of experimentally determined modes h a p e s 
667)thispaperillustratesthedevelopmentandapplicationofan     this paper illustrates the development and application of an 
668)thispaperdevelopsanewmethodfordeterminingthebuckling     this paper develops an e w method for determining the buckling 
669)theequationsobtainedbychienforthenonlineardeflection     the equations obtained by chien forth e nonlinear deflection 
670)aformulaforthesupersonicvelocityfieldintermsofagiven     a formula forth e supersonic velocity field inter ms of a given 
671)sincetheintroductionofmomentummethodsinboundarylayer     since the introduction of momentum methods in boundarylayer 
672)theproblemofpanelflutterofrectangularsimplysupported     the problem of panel flutter ofr e c tang u la r simply supported 
673)measurementsofstagnationpointheattransferarepresented     measurements of stagnationpoint heattransfer are presented 
674)abriefreviewismadeoftheavailableinformationconcerning     ab r i e f review is made of the available information concerning 
675)anewmethodisproposedtocalculatethevelocityandpressure     an e w method is proposed to calculate the velocity and pressure 
676)theuseofpistontheorywasrecentlyadvocatedforsupersonic     the use of piston theory was recently advocated for supersonic 
677)treatsthegeneralclassofflowproblemscharacterizedbythe     treats the general class off low problems characterized by the 
678)inordertosimplifytheprocessofestimatingtheaerodynamic     in order to simplify the process of estimating the aerodynamic 
679)atheoryisderivedtopredictthestressesanddeformationsof     at he or y is derived top re d i c t the stresses and deformations of 
680)theintegralmethodofbelotserkovskiihasbeencarriedoutto     the integral method of belotserkovskii has been carried out to 
681)astudyhasbeenmadeofthesideforcegeneratedbyinjectionof     as t u dy has been made of the sideforce generated by injection of 
682)atheoryispresentedtopredictthebucklingtemperatureofan     at he or y is presented top re d i c t the buckling temperature of an 
683)anapproximatetheoryonthephenomenaofinteractionbetween     an approximate theory on the phenomena of interaction between 
684)theeffectsofcompressibilityonthesteadymotionofahighly     the effects of compressibility on the steady motion of a highly 
685)calculationsarepresentedfortheproblemofthestabilityof     calculations are presented forth e problem of the stability of 
686)ageneraltheoryisdevelopedforthecaseoflargedeflections     age n er al theory is developed forth e case of large deflections 
687)presentednoteproposesalinearizedreactionrateparameter     presented note proposes al in e a r i z e d reaction rate parameter 
688)paperstudiescompressiblelaminarboundarylayerinadverse     papers t u d i e s compressible laminarboundary layer in adverse 
689)afourieranalysisofthelinearisedtheoryexpressionforthe     a fourier analysis of the linearised theory expression forth e 
690)atheoryhasbeendevelopedforsmallbendingandstretchingof     at he or y has been developed for small bending and stretching of 
691)controlofflowseparationbyfluidinjectionatonediverging     control off low separation by fluid injection at one diverging 
692)ananalysisismadeofturbulentconstantpressuremixingfora     an analysis is made of turbulent constant pressure mixing for a 
693)theprincipleoftheminimumofthetotalpotentialisemployed     the principle of them in im u m of the total potential is employed 
694)thepresentpapercontainsasetoftablesofcompleteelliptic     the present paper contains as et of tables of complete elliptic 
695)completeinviscidflowfieldsaboutthreemodelaxisymmetric     complete inviscidflow fields about three model axisymmetric 
696)ageneralizedwaveequationisderivedforsounddisturbances     age n er al i z e d wave equation is derived for sound disturbances 
697)resultsaregivenofmeasurementsinthecompressedairtunnel     results are given of measurements in the compressed air tunnel 
698)ofthecharacteristicequationsoftheaxiallysymmetricflow     of the characteristic equations of the axiallysymmetric flow 
699)simplemodelsareemployedtobringoutthelargeandimportant     simple models are employed to bring out the large and important 
700)analyseshavebeenmadeoftheeffectsofcoupledchemicalrate     analyses have been made of the effects of coupled chemical rate 
701)accountsformolecularsizeandintermolecularforceeffects     accounts form o l e c u la r size and intermolecular force effects 
702)shockshapeswereobservedandstaticpressuresweremeasured     shocks h a p e s were observed and staticpressure s were measured 
703)anapproximatemethodofpredictingtheinterferencebetween     an approximate method of predicting the interference between 
704)anextensionofclassicalhypersonicsimilitudeisdeveloped     an extension of classical hypersonic similitude is developed 
705)atheoreticalstudyismadeofthebucklingofasandwichsphere     at he or et i cal study is made of the buckling of as and w i c h sphere 
706)aninvestigationhasbeenmadetoexplorethepossibilitiesof     an investigation has been made to explore the possibilities of 
707)inthepresentinvestigationoftheflowofairinathinlaminar     in the present investigation of the flow of air in at h in laminar 
708)authorconsiderstheequationoftheyawingmotionofamissile     author considers the equation of they a wing motion of a missile 
709)amethodofcalculatingthetemperatureofthickwallshasbeen     a method of calculating the temperature of thick walls has been 
710)aneffectivemeansofprotectingthesurfaceofahypersonicre     an effective means of protecting the surface of a hypersonic re 
711)ithasbeenshownthattransversemagneticfieldsofpractical     it has been shown that transverse magnetic fields of practical 
712)theproblemofthermalbucklingofshellsarisesinconnection     the problem of thermal buckling of shells arises in connection 
713)theformulasofsubsonicandsupersonicwingtheoryforsource     the formulas of subsonic and supersonic wing theory for source 
714)steadyflowaboutcurvedairfoilsathighsupersonicspeedsis     steady flow about curved airfoils at high supersonic speeds is 
715)authorintroduceshissurveybyabriefreviewofthehistoryof     author introduces his survey by ab r i e f review of the history of 
716)ananalyticalstudyismadeofviscousflowinslenderchannels     an analytical study is made of viscous flow in slender channels 
717)anexperimentalinvestigationhasbeenmadeofsomeeffectsof     an experimental investigation has been made of some effects of 
718)vangorcumhaspointedtointerestingandimportantanalogies     van gorcum has pointed to interesting and important analogies 
719)thispaperisconcernedwithbucklingofacircularcylinderof     this paper is concerned with buckling of a circular cylinder of 
720)discussionofseveralformsoftheenergyequationandoftheir     discussion of several forms of the energy equation and of their 
721)thisreportconcernstheproblemofconstructingsolutionsfor     this report concerns the problem of constructing solutions for 
722)theuseofamagneticfieldtocontrolthemotionofelectrically     the use of a magnetic field to control them o tion of electrically 
723)cosmonauticsiscurrentlyverymuchtotheforefrontinthenews     cosmonautics is currently very much to the forefront in then e w s 
724)experimentalresearchhasbeenconductedontheeffectsofwall     experimental research has been conducted on the effects of wall 
725)wiremeasurementsinthefreestreamofasupersonicwindtunnel     wire measurements in the freestream of as up er sonic windtunnel 
726)resonantbreathingfrequenciesandmodeshapesaredetermined     resonant breathing frequencies and modes h a p e s are determined 
727)basedonthevariationalformulationoflinearthermodynamics     based on the variational formulation of linear thermodynamics 
728)wingwithsharpleadingedgeshasbeenmadeinordertoascertain     wing with sharp leadingedge s has been made in order to ascertain 
729)dataarepresentedwhichshowtheeffectofajetonbasepressure     data are presented which show the effect of a jet on base pressure 
730)thecornellaeronauticallaboratoryisconductingaprogramof     the cornell aeronautical laboratory is conducting a program of 
731)relationsarepresentedforthecalculationofheattransferat     relations are presented forth e calculation of heattransfer at 
732)thetemperatureandthermalstressdistributionsareanalyzed     the temperature and thermal stress distributions area n al y z e d 
733)twomethodsarepresentedfortheanalysisofcomplexlowaspect     two methods are presented forth e analysis of complex lowaspect 
734)thisveryshortpaperpresentsanapproximateprocedureforthe     this very short paper presents an approximate procedure forth e 
735)theequationsofmotionfortheflowofanidealdissociatinggas     the equations of motion forth e flow of an ideal dissociating gas 
736)asurveyofexistinganalyticaltreatmentsofthesupersonicor     as u r v e y of existing analytical treatments of the supersonic or 
737)thispapergivesabriefsummaryofcurrentloadsinformationat     this paper gives ab r i e f summary of current loads information at 
738)anumberofapproximatetheoriesforsupersonicandhypersonic     an u m ber of approximate theories for supersonic and hypersonic 
739)ionizedmoleculesandatomsoftheelementsnitrogenandoxygen     ionized molecules and atoms of the elements nitrogen and oxygen 
740)manufacturingandmaintainanceofideallysharpleadingedges     manufacturing and maintainance of ideally sharp leadingedge s 
741)informationonatmosphericturbulenceobtainedfromcounting     information on atmospheric turbulence obtained from counting 
742)theinfluenceoflocalizedmasstransferatthenoseofaslender     the influence of localized mass transfer at then o s e of as lend er 
743)briefdescriptionofexperimentsperformedbyusingshocktube     brief description of experiments performed by using shock tube 
744)thisnotepresentsasimplificationofamethodforcalculating     this note presents as im p li f i c at ion of a method for calculating 
745)somenewsolutionsforsteadyincompressiblelaminarboundary     some news o l u tions for steady incompressible laminarboundary 
746)themethodsoftheclassicalaerofoiltheoryareusedtoderivea     them et h o d soft he classical aerofoil theory are used to derive a 
747)anexperimentalstudyhasbeenmadetoinvestigatesomeaspects     an experimental study has been made to investigates o m e aspects 
748)gashypersonicflowparametersforheliumhavebeencalculated     gas hypersonic flow parameters for helium have been calculated 
749)thepressuredistributionandpressuredragofabluntbodywitha     the pressuredistribution and pressure drag of ab l u n t body with a 
750)thefirstportionofthispaperdescribesstudiesoftheinternal     the first portion of this paper describes studies of the internal 
751)withaviewtostudyingtheeffectofstrongtransversecurvature     with a view to studying the effect of strong transverse curvature 
752)ananalysisispresentedwhichenablesthetemperatureprofiles     an analysis is presented which enables the temperature profiles 
753)attentionisdrawntoapreviousaccuratesolutiontotheproblem     attention is drawn to a previous accurate solution to the problem 
754)thesupersonicaerodynamiccharacteristicsofinclinedbodies     the supersonic aerodynamic characteristics of inclined bodies 
755)authorstudiesthevelocityprofilesmeasuredbyothersinplane     authors t u d i e s the velocityprofiles measured by others inplane 
756)inanattempttoavoidflowseparationattheleadingedgeofathin     in an attempt to avoid flows e para tion at the leadingedge of at h in 
757)theaccuracyandrangeofapplicabilityofthelinearizedtheory     the accuracy and range of applicability of the linearizedtheory 
758)aninvestigationoftransitionandskinfrictiononaninsulated     an investigation of transition and skinfriction on an insulated 
759)atheoreticalinvestigationhasbeenmadeofageneralmethodfor     at he or et i cal investigation has been made of age n er al method for 
760)inrecentyearsgreatusehasbeenmadeofapproximatemethodsfor     in recent years great use has been made of approximate methods for 
761)measurementsofaverageskinfrictionoftheturbulentboundary     measurements of averages k in friction of the turbulent boundary 
762)thisnotegivesamethodforthederivationofsuitableconstants     this note gives a method forth e derivation of suitable constants 
763)theequationsdescribingtheflowofanelectricallyconducting     the equations describing the flow of an electrically conducting 
764)thisreportcontainssomefairlysimpleandeconomicmethodsfor     this report contains some fairly simple and economic methods for 
765)developmentofananalyticalrelationbetweenshockdetachment     development of an analytical relation between shockdetachment 
766)formexpressionsandtablescomposedfromtheseexpressionsare     form expressions and tables composed from these expressions are 
767)thisnotedescribesthemannerinwhichtheonsetoftheeffectsof     this noted e s c rib e s them an n er in which the onset of the effects of 
768)anapproximatetheoryofairfoilsinunsteadymotioninaviscous     an approximate theory of airfoils in unsteady motion in a viscous 
769)thelinearisedtheoryofthinwingsisusedtocalculatepressure     the linearised theory of thin wings is used to calculate pressure 
770)asimpleexpressionisderivedforthenormalinjectionvelocity     as im p lee x press ion is derived forth e normal injection velocity 
771)approximateformulaeofthedisplacementthicknessandtheskin     approximate formulae of the displacement thickness and the skin 
772)thesubsonicpotentialflowofacompressiblefluidpastasphere     the subsonic potentialflow of a compressible fluid past as ph er e 
773)theresponseofasectionoftailplanestructuretobothdiscrete     there s p on s e of as e c tion of tailplane structure to both discrete 
774)aninvestigationhasbeenmadeofthepossibilityofcorrelating     an investigation has been made of the possibility of correlating 
775)thispaperpresentstheresultsofaninvestigationconductedin     this paper presents there s u l t so fan investigation conducted in 
